column	original	encoded
Pclass	unknown	0
Pclass	3	1
Pclass	1	2
Pclass	2	3
Sex	unknown	0
Sex	male	1
Sex	female	2
SibSp	unknown	0
SibSp	1	1
SibSp	0	2
SibSp	3	3
SibSp	4	4
SibSp	2	5
SibSp	5	6
SibSp	8	7
Parch	unknown	0
Parch	0	1
Parch	1	2
Parch	2	3
Parch	5	4
Parch	3	5
Parch	4	6
Parch	6	7
Cabin	unknown	0
Cabin		1
Cabin	C85	2
Cabin	C123	3
Cabin	E46	4
Cabin	G6	5
Cabin	C103	6
Cabin	D56	7
Cabin	A6	8
Cabin	C23 C25 C27	9
Cabin	B78	10
Cabin	D33	11
Cabin	B30	12
Cabin	C52	13
Cabin	B28	14
Cabin	C83	15
Cabin	F33	16
Cabin	F G73	17
Cabin	E31	18
Cabin	A5	19
Cabin	D10 D12	20
Cabin	D26	21
Cabin	C110	22
Cabin	B58 B60	23
Cabin	E101	24
Cabin	F E69	25
Cabin	D47	26
Cabin	B86	27
Cabin	F2	28
Cabin	C2	29
Cabin	E33	30
Cabin	B19	31
Cabin	A7	32
Cabin	C49	33
Cabin	F4	34
Cabin	A32	35
Cabin	B4	36
Cabin	B80	37
Cabin	A31	38
Cabin	D36	39
Cabin	D15	40
Cabin	C93	41
Cabin	C78	42
Cabin	D35	43
Cabin	C87	44
Cabin	B77	45
Cabin	E67	46
Cabin	B94	47
Cabin	C125	48
Cabin	C99	49
Cabin	C118	50
Cabin	D7	51
Cabin	A19	52
Cabin	B49	53
Cabin	D	54
Cabin	C22 C26	55
Cabin	C106	56
Cabin	C65	57
Cabin	E36	58
Cabin	C54	59
Cabin	B57 B59 B63 B66	60
Cabin	C7	61
Cabin	E34	62
Cabin	C32	63
Cabin	B18	64
Cabin	C124	65
Cabin	C91	66
Cabin	E40	67
Cabin	T	68
Cabin	C128	69
Cabin	D37	70
Cabin	B35	71
Cabin	E50	72
Cabin	C82	73
Cabin	B96 B98	74
Cabin	E10	75
Cabin	E44	76
Cabin	A34	77
Cabin	C104	78
Cabin	C111	79
Cabin	C92	80
Cabin	E38	81
Cabin	D21	82
Cabin	E12	83
Cabin	E63	84
Cabin	A14	85
Cabin	B37	86
Cabin	C30	87
Cabin	D20	88
Cabin	B79	89
Cabin	E25	90
Cabin	D46	91
Cabin	B73	92
Cabin	C95	93
Cabin	B38	94
Cabin	B39	95
Cabin	B22	96
Cabin	C86	97
Cabin	C70	98
Cabin	A16	99
Cabin	C101	100
Cabin	C68	101
Cabin	A10	102
Cabin	E68	103
Cabin	B41	104
Cabin	A20	105
Cabin	D19	106
Cabin	D50	107
Cabin	D9	108
Cabin	A23	109
Cabin	B50	110
Cabin	A26	111
Cabin	D48	112
Cabin	E58	113
Cabin	C126	114
Cabin	B71	115
Cabin	B51 B53 B55	116
Cabin	D49	117
Cabin	B5	118
Cabin	B20	119
Cabin	F G63	120
Cabin	C62 C64	121
Cabin	E24	122
Cabin	C90	123
Cabin	C45	124
Cabin	E8	125
Cabin	B101	126
Cabin	D45	127
Cabin	C46	128
Cabin	D30	129
Cabin	E121	130
Cabin	D11	131
Cabin	E77	132
Cabin	F38	133
Cabin	B3	134
Cabin	D6	135
Cabin	B82 B84	136
Cabin	D17	137
Cabin	A36	138
Cabin	B102	139
Cabin	B69	140
Cabin	E49	141
Cabin	C47	142
Cabin	D28	143
Cabin	E17	144
Cabin	A24	145
Cabin	C50	146
Cabin	B42	147
Cabin	C148	148
Embarked	unknown	0
Embarked	S	1
Embarked	C	2
Embarked	Q	3
Embarked		4
